Customer,InterArrivalTime,ServiceTime,ArrivalTime,ServiceStartTime,ServiceEndTime,WaitingTime,TimeInSystem
1,3.0922091095385142,5.313350030217687,3.0922091095385142,3.0922091095385142,8.405559139756202,0.0,5.313350030217688
2,4.0613712333727126,2.448057612131059,7.153580342911226,8.405559139756202,10.85361675188726,1.2519787968449752,3.7000364089760343
3,2.598284388971625,3.003542353826646,9.75186473188285,10.85361675188726,13.857159105713906,1.10175202000441,4.105294373831056
4,2.3379460712428894,5.685018485210659,12.08981080312574,13.857159105713906,19.542177590924567,1.7673483025881662,7.452366787798827
5,7.4456528975105645,5.033385723353345,19.535463700636306,19.542177590924567,24.57556331427791,0.006713890288260416,5.040099613641605
6,7.467907670044059,2.1553404497413258,27.003371370680366,27.003371370680366,29.158711820421694,0.0,2.1553404497413275
7,5.3019018513603555,5.281311656994753,32.305273222040725,32.305273222040725,37.58658487903548,0.0,5.2813116569947525
8,7.123672601703228,5.2790146671527705,39.42894582374395,39.42894582374395,44.707960490896724,0.0,5.279014667152772
9,7.126196874008411,3.994796332313985,46.55514269775236,46.55514269775236,50.54993903006634,0.0,3.9947963323139817
10,5.2428880137538165,3.7903694990082166,51.79803071150617,51.79803071150617,55.588400210514386,0.0,3.7903694990082144
11,5.112125525754712,4.9340395159086015,56.910156237260885,56.910156237260885,61.84419575316949,0.0,4.9340395159086015
12,4.396318678165739,5.336308163296838,61.30647491542663,61.84419575316949,67.18050391646632,0.5377208377428602,5.874029001039695
13,7.183630473477931,4.744358165636573,68.49010538890455,68.49010538890455,73.23446355454112,0.0,4.744358165636569
14,4.33177800920977,4.786555701978733,72.82188339811432,73.23446355454112,78.02101925651985,0.4125801564267988,5.199135858405526
15,4.1230013465445285,3.792260666293526,76.94488474465885,78.02101925651985,81.81327992281338,1.0761345118609995,4.868395178154529
16,6.0351979000379865,2.4273241188787855,82.98008264469684,82.98008264469684,85.40740676357562,0.0,2.4273241188787864
17,6.18075077066734,1.985233495815348,89.16083341536418,89.16083341536418,91.14606691117953,0.0,1.9852334958153506
18,1.866106784811083,2.367585648357896,91.02694020017526,91.14606691117953,93.51365255953743,0.11912671100427019,2.4867123593621727
19,2.006431732917001,5.002889067824972,93.03337193309227,93.51365255953743,98.5165416273624,0.48028062644516467,5.483169694270131
20,7.070784516766127,1.678698814234815,100.1041564498584,100.1041564498584,101.78285526409321,0.0,1.6786988142348207
21,4.980346866441705,4.940311198683734,105.0845033163001,105.0845033163001,110.02481451498383,0.0,4.94031119868373
22,6.513000296945943,5.489213327450376,111.59750361324605,111.59750361324605,117.08671694069642,0.0,5.489213327450372
23,7.35536990694171,5.550292219826198,118.95287352018775,118.95287352018775,124.50316574001396,0.0,5.550292219826204
24,3.1389736644308313,4.890647220315536,122.09184718461859,124.50316574001396,129.39381296032948,2.4113185553953684,7.301965775710897
25,3.8575341329472237,1.132577588579215,125.94938131756581,129.39381296032948,130.5263905489087,3.444431642763675,4.577009231342885
26,3.6695629272111967,5.52033322492611,129.618944244777,130.5263905489087,136.0467237738348,0.907446304131696,6.427779529057801
27,1.9041542884294045,5.667726430835673,131.5230985332064,136.0467237738348,141.71445020467047,4.523625240628405,10.191351671464076
28,1.0183810644106623,1.4983801835313661,132.54147959761707,141.71445020467047,143.21283038820184,9.1729706070534,10.671350790584768
29,6.6684815672321776,2.582883612380387,139.20996116484923,143.21283038820184,145.79571400058222,4.002869223352604,6.58575283573299
30,4.302495031302593,2.683559810557477,143.51245619615182,145.79571400058222,148.4792738111397,2.2832578044304057,4.966817614987889
31,1.645237868248447,5.151428813544971,145.15769406440026,148.4792738111397,153.6307026246847,3.3215797467394452,8.473008560284427
32,6.550156149225524,3.868835954267508,151.7078502136258,153.6307026246847,157.49953857895218,1.9228524110588978,5.791688365326394
33,1.2416022421306594,3.899217827995619,152.94945245575644,157.49953857895218,161.3987564069478,4.55008612319574,8.449303951191354
34,3.587400150781415,3.7473998096355507,156.53685260653785,161.3987564069478,165.14615621658334,4.861903800409948,8.609303610045487
35,4.992813891579761,1.7723887827629277,161.52966649811762,165.14615621658334,166.91854499934627,3.616489718465715,5.388878501228646
36,5.52056667904058,1.1170451761047313,167.0502331771582,167.0502331771582,168.16727835326293,0.0,1.1170451761047389
37,1.0583416870979123,5.010745587038244,168.1085748642561,168.16727835326293,173.17802394030116,0.05870348900683098,5.069449076045061
38,4.923323429061249,5.586913489140727,173.03189829331734,173.17802394030116,178.7649374294419,0.14612564698381902,5.733039136124546
39,1.0796544436874442,4.404439480627426,174.11155273700479,178.7649374294419,183.1693769100693,4.6533846924371005,9.057824173064517
40,7.920522427990372,5.0512591727527685,182.03207516499515,183.1693769100693,188.22063608282207,1.1373017450741543,6.188560917826919
41,7.131167777897675,3.9912893669844562,189.16324294289282,189.16324294289282,193.15453230987728,0.0,3.9912893669844607
42,3.786117839252354,5.003034402280831,192.94936078214516,193.15453230987728,198.15756671215811,0.20517152773211933,5.2082059300129515
43,4.746680902691011,2.4037636138608884,197.6960416848362,198.15756671215811,200.561330326019,0.461525027321926,2.865288641182815
44,1.4226076282124174,4.046979386722945,199.1186493130486,200.561330326019,204.60830971274194,1.4426810129704108,5.489660399693349
45,4.72629152964458,1.7767120425116247,203.84494084269318,204.60830971274194,206.38502175525358,0.7633688700487653,2.5400809125603985
46,7.6626546579591395,3.72427792383672,211.50759550065231,211.50759550065231,215.23187342448904,0.0,3.7242779238367234
47,1.614787116368648,4.423350410177914,213.12238261702097,215.23187342448904,219.65522383466694,2.109490807468063,6.5328412176459665
